Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Studienfinanzierungsberatung	Wer zügig studieren möchte, muss den Kopf frei haben von finanziellen Sorgen. Deshalb gibt es an der FH Bielefeld die Studienfinanzierungsberatung durch die Zentrale Studienberatung (ZSB).\n\nSie berät Studierende neutral und umfassend zu dem jeweils individuell passenden Angebot.\n\nEs gibt viele Finanzierungsmöglichkeiten, Stipendien und Bildungskredite, die den Studierenden oft nicht bekannt sind. Die Zentrale Studienberatung (ZSB) hilft dabei, das passende Angebot zu finden.\n\nDie Beratungszeiten finden Sie \n\n[hier](https://www.fh-bielefeld.de/zsb \"Zentrale Studienberatung\")\n\n. Sie können uns aber auch gern telefonisch oder per E-Mail kontaktieren.	Editorial		[]	false	[]	68
Studienfinanzierung	Wer zügig studieren möchte, muss den Kopf frei haben von finanziellen Sorgen. Deshalb gibt es an der FH Bielefeld die Studienfinanzierungsberatung durch die Zentrale Studienberatung (ZSB).\n\nSie berät Studierende neutral und umfassend zu dem jeweils individuell passenden Angebot.\n\nEs gibt viele Finanzierungsmöglichkeiten, Stipendien und Bildungskredite, die den Studierenden oft nicht bekannt sind. Die Zentrale Studienberatung (ZSB) hilft dabei, das passende Angebot zu finden.\n\nDie Beratungszeiten finden Sie \n\n[hier](https://www.fh-bielefeld.de/zsb \"Zentrale Studienberatung\")\n\n. Sie können uns aber auch gern telefonisch oder per E-Mail kontaktieren.	Editorial		[]	false	[]	68
Finanzierung	Wer zügig studieren möchte, muss den Kopf frei haben von finanziellen Sorgen. Deshalb gibt es an der FH Bielefeld die Studienfinanzierungsberatung durch die Zentrale Studienberatung (ZSB).\n\nSie berät Studierende neutral und umfassend zu dem jeweils individuell passenden Angebot.\n\nEs gibt viele Finanzierungsmöglichkeiten, Stipendien und Bildungskredite, die den Studierenden oft nicht bekannt sind. Die Zentrale Studienberatung (ZSB) hilft dabei, das passende Angebot zu finden.\n\nDie Beratungszeiten finden Sie \n\n[hier](https://www.fh-bielefeld.de/zsb \"Zentrale Studienberatung\")\n\n. Sie können uns aber auch gern telefonisch oder per E-Mail kontaktieren.	Editorial		[]	false	[]	68
Psychosoziale Beratung	![Standbild_Sorgen_PB](https://www.fh-bielefeld.de/multimedia/Hochschulverwaltung/Dezernat+II/ZSB/PsychBeratung/Standbild_Sorgen_PB-height-159-width-284.jpg \"Standbild_Sorgen_PB\")Die psychosoziale Beratung der FH Bielefeld unterstützt Studierende, kleine und große Krisen während des Studiums zu bewältigen. Der Studienalltag  kann sehr anstrengend sein, denn neben den regelmäßigen Veranstaltungen müssen Prüfungen vorbereitet und die alltäglichen Verpflichtungen erfüllt werden. Im Laufe eines Studiums können dann die vielfältigen Anforderungen zu einer Überforderung führen. Viele Studentinnen und Studenten beklagen, dass sie während des Studiums unter Blockaden, Ängsten und Depressionen leiden. Dieser Zustand bedrückt und kann sich negativ auf die Studienleistung auswirken. Die psychosoziale Beratung bietet Ihnen die Möglichkeit, Ihre Probleme vertraulich zu besprechen und Lösungswege zu suchen. Die Beratung ist kostenlos und unterliegt der Schweigepflicht.\n\nPsychosoziale Beratung Campus Bielefeld\n\nInteraktion 1,  Raum A 341\n\n33619 Bielefeld\n\nTelefonische Beratung:  \n\nDi. 10:00 – 11:00 Uhr**\n\nTerminvereinbarung per E-Mail oder Telefon.\n\n \n\nPsychosoziale Beratung Campus Minden\n\nArtilleriestr. 9, Raum A 282\n\n32427 Minden\n\nTelefonische Beratung:  \n\nMo. 09:00 – 10:00 Uhr**\n\nTerminvereinbarung per E-Mail, Telefon oder in der Allgemeinen Beratung\n\nAllgemeine Beratung:   \n\nMo.: 10:00 – 12:00 Uhr\n\nDi.: 15:00 – 16:30 Uhr\n\nBeratungsspektrum \n\nHäufig lassen sich persönliche und studienbezogene Probleme nicht voneinander trennen, so dass sich die Beratung an Ihrem Anliegen orientiert. Die studien(leistungs)bezogenen Themen reichen von Orientierungsschwierigkeiten und Blockaden im Studienfach bis hin zur Beratung zu Lerntechniken und Prüfungsängsten. Das Themenspektrum bei persönlichen Problemen ist sehr weit gefasst, so dass eine Beratung in individuellen Belastungssituationen (z.B. bei Stress, Trauer, Verzweiflung) möglich ist.\n\n Einzelberatung \n\nSie haben die Möglichkeit, im Gespräch mit einer psychologischen Beraterin ihre derzeitigen Probleme zu klären. Dabei steht Ihre psychische Entlastung und die Aktivierung eigener Ressourcen im Vordergrund. Es können gegebenenfalls mehrere Folgegespräche vereinbart werden. Ein Beratungsgespräch beträgt in der Regel 45 Minuten. Psychotherapien werden im Rahmen der psychosozialen Beratung nicht durchgeführt. Sie können sich in der Beratung über ein geeignetes Therapieverfahren informieren.\n\n Workshops \n\nNeben der Einzelberatung werden \n\n[Kompetenztrainings](https://www.fh-bielefeld.de/studium/kompetenztrainings \"Kompetenztrainings\")\n\n angeboten, um den Studienerfolg zu unterstützen.\n\nAlle Standorte finden Sie \n\n[hier](https://www.fh-bielefeld.de/standorte \"Standorte / Anfahrt\")\n\n.	Editorial		[]	false	[]	69
Studienverlaufsberatung	![Studienverlaufsberatung](https://www.fh-bielefeld.de/multimedia/Hochschulverwaltung/Dezernat+II/ZSB/St%C3%B6rer/Studienverlaufsberatung-height-179-width-310.jpg \"Flyer Studienverlaufsberatung\")Sie \"schieben\" Prüfungen, stehen vor einem oder mehreren 3. Prüfungsversuchen, haben Schwierigkeiten bei Entscheidungen in Ihrem Studium oder die Motivation beim Lernen ist Ihnen einfach abhanden gekommen. Sie stellen fest, alleine kommen Sie mit Ihren Problemen nicht mehr klar. Für diese und weitere Herausforderungen bietet Ihnen die Zentrale Studienberatung Hilfe an.\n\nIn der Studienverlaufsberatung der ZSB erhalten Sie Unterstützung für individuell passende Lösungswege. Die Beratung bietet Ihnen eine kostenlose Möglichkeit, Ihre Probleme vertraulich zu besprechen. Beratungsthemen können sein:\n\nArbeitsschwierigkeiten (Selbst- und Zeitmanagement sowie Arbeitstechniken)\n\nAufschieberitis und Prüfungsvorbereitung (z.B. 3. Prüfungsversuch)\n\nOrientierungs- oder Motivationsprobleme\n\nEntscheidungs-  oder Leistungsschwierigkeiten\n\nSchwierigkeiten bei Wiederaufnahme des Studiums nach Unterbrechung\n\nProbleme beim Abschluss des Studiums\n\npsychische Belastungen (z.B. Ängste, Unsicherheiten, Verstimmungen)\n\npersönliche Themen (z.B. Trauer, Stress und Beziehungsschwierigkeiten)	Editorial		[]	false	[]	70
Studienfachberatung	Bei fachbezogenen Fragen zu einem Hochschul- oder Studiengangswechsel, zur Anrechnung von Hochschulleistungen und beruflich erworbener Kompetenzen sowie fachlichen Anliegen unterstützen die Studienfachberatungen:\n\n[Zentrale Studienberatung auf dem Campus Minden](https://www.fh-bielefeld.de/zsb \"Zentrale Studienberatung\")\n\n[Sozialwesen](https://www.fh-bielefeld.de/sozialwesen/studieninteressierte/bielefeld-als-studienort/studienfachberatung \"Studienfachberatung\")\n\n[Ingenieurwissenschaften und Mathematik](https://www.fh-bielefeld.de/ium/studienfachberatung \"Studienfachberatung\")\n\n[Wirtschaft und Gesundheit](https://www.fh-bielefeld.de/wug/studium/studienfachberatung \"Studienfachberatung\")	Editorial		[]	false	[]	71
Zentrale Studienberatung	Bei der Zentralen Studienberatung sind Sie mit Fragen rund ums Studium willkommen. Wir unterstützen Sie gern u.a. bei folgenden Themen:\n\nStudienangebot vor Ort und anderswo\n\nStudienentscheidung\n\nStudieninhalt und Studienorganisation\n\nFinanzierung des Studium\n\nWechsel des Studienorts oder Studiengangs\n\nProbleme im Studium\n\nBei weiteren Fragen sind wir offen. Die Kontaktaufnahme ist leicht. Kommen Sie einfach während unserer Beratungszeiten für ein persönliches Gespräch vorbei. Sie können uns aber auch gern telefonisch kontaktieren oder uns eine Nachricht schreiben. Wir bemühen uns um rasche Antworten.\n\nDie Zentrale Studienberatung ist eine von den Fachbereichen und Prüfungsämtern unabhängige Einrichtung. Die vertrauliche und ergebnisoffene Beratung (vgl. \n\n[Standards unserer Beratung](https://www.fh-bielefeld.de/psychosoziale-beratung/standards \"Standards unserer Beratung\")\n\n) erfolgt persönlich, telefonisch und per Mail.\n\nTelefonische Beratung\n\nMo.: 09:00 – 10:00 Uhr \n\nDi.: 13:00 – 15:00 Uhr \n\nDo.: 10:00 – 12:00 Uhr\n\nAllgemeine Studienberatung ohne Voranmeldung in Bielefeld \n\nInteraktion 1, 33619 Bielefeld, Gebäudeteil A, 3. Etage**\n\nMo.: 10:00 - 12:00 Uhr und 14:00 - 16:00 Uhr\n\nDi.: 10:00 – 12:00 Uhr  \n\nMi.: 15:30 – 17:30 Uhr\n\nDo.: 10:00 - 12:00 Uhr und 14:00 - 16:00 Uhr\n\nFr.: 10:00 - 12:00 Uhr\n\nBitte nehmen Sie im \n\nWartebereich**\n\n Platz. Die Studienberaterin bzw. der Studienberater holt Sie von dort persönlich ab.\n\nFinanzierungsberatung ohne Voranmeldung in Bielefeld\n\nMo.: 14:00 - 16:00 Uhr\n\nFr.: 10:00 - 12:00 Uhr\n\nPersönliche Termine können unter der Mailadresse \n\n[zsb@fh-bielefeld.de**](mailto:zsb@fh-bielefeld.de)\n\n vereinbart werden.\n\nBitte nehmen Sie im \n\nWartebereich**\n\n Platz. Die Studienberaterin bzw. der Studienberater holt Sie von dort persönlich ab.\n\nAllgemeine Studienberatung ohne Voranmeldung in Minden\n\nArtilleriestraße 9, 32427 Minden, Gebäude A, Raum A 282**\n\nMo.: 10:00 – 12:00 Uhr \n\nDi.: 15:00 – 16:30 Uhr\n\nAllgemeine Studienberatung mit Voranmeldung in Gütersloh\n\nLanger Weg 9a, 33332 Gütersloh, im \"Gleis 13, Haus III\", 1. Stock, Raum 114 **\n\nJeden 1. und 3. Do. im Monat 15:45 – 17:45 Uhr  \n\n– nächsten Termine: 04.07.2019, 18.07.2019,\n\nWir bitten aus organisatorischen Gründen um Voranmeldung bei der Clearingstelle oder \n\n[zsb@fh-bielefeld.de](mailto:zsb@fh-bielefeld.de)\n\n bis spätestens mittwochs um 15:00 Uhr.\n\nAlle Standorte finden Sie \n\n[hier](https://www.fh-bielefeld.de/standorte \"Standorte / Anfahrt\")\n\n.	Editorial		[]	false	[]	72
Erfolgreich durchs Studium	Ob zu Beginn des Studiums, „mittendrin“ oder zum Studienabschluss: Ein Studium wirft viele Fragen auf! Deshalb bietet die FH Bielefeld \n\nBeratung und Unterstützung**\n\n für Studierende zu Themen wie Zeitmanagement, Lern- und Arbeitstechniken, persönlichen Krisen, Fragen rund ums Studienfach, digitalen Lernangeboten, Schreibberatung, Anwendung von Mathematik, Spracherwerb oder Kompetenztrainings. Hier können Sie sich über die vielfältigen Angebote informieren.\n\nWir wünschen Ihnen ein erfolgreiches Studium!**	Editorial		[]	false	[]	73
Studienmodelle	Vollzeitstudium\n\nDas \n\n[Vollzeitstudium](/studiengaenge?form[1]=vollzeit)\n\n ist das „klassische“ Studium mit Präsenzveranstaltungen in der Vorlesungszeit sowie deren Vor- und Nachbearbeitung, Klausuren und eventuell Hausarbeiten in der vorlesungsfreien Zeit. Hinzu kommen je nach Studiengang Praxisprojekte, Praktika oder Zusatzangebote wie Sprachkurse.\n\nTeilzeitstudium\n\nHierunter versteht man ein Studium, dass nach Dauer und Unterrichtsbelastung eine studienbegleitende Berufstätigkeit zulässt. Auch dem Aspekt „familienfreundliche Hochschule“ soll damit Rechnung getragen werden. Die Inhalte aus dem Vollzeitstudium werden über mehr Semester verteilt angeboten. Im Zuge der Weiterentwicklung als „familiengerechte Hochschule“ plant die FH Bielefeld, weitere Studiengänge in Teilzeit anzubieten.\n\nBerufsbegleitendes Verbundstudium\n\nDas \n\n[berufsbegleitende Verbundstudium](/studiengaenge?form[2]=vsg)\n\n ist ein Studienangebot, in dem Fernstudienelemente mit Präsenzlehrveranstaltungen verknüpft werden, die im Regelfall an Samstagen während der Vorlesungszeit stattfinden. Dadurch kann das Studium mit einer Berufstätigkeit in Vollzeit oder einer Ausbildung kombiniert werden.\n\nDuales Studium\n\nDual zu studieren bedeutet, das Studium mit einer Berufsausbildung zu kombinieren. Im bisher einzigen dualen \n\n[Studiengang Gesundheits- und Krankenpflege](https://www.fh-bielefeld.de/studiengaenge/gesundheits-und-krankenpflege-bachelor \"Gesundheits- und Krankenpflege\")\n\n an der FH Bielefeld werden deshalb Hochschulstudium, Berufsausbildung in Pflegeschulen und die Berufspraxis in Krankenhäusern vereint. Am Campus Bielefeld kooperiert die FH Bielefeld mit der Zentralen Akademie für Berufe im Gesundheitswesen GmbH (ZAB) in Gütersloh und am Campus Minden mit der Akademie für Gesundheitsberufe der Mühlenkreiskliniken in Minden. In den praxisintegrierten Studiengängen können und in den kooperativen Studiengängen müssen ebenfalls einschlägige Berufsausbildungen mit dem Studium kombiniert werden.\n\nPraxisintegriertes Studium\n\nDie Studierenden sind während des \n\n[praxisintegrierten Studiums](/studiengaenge?form[3]=praxisintegriert)\n\n sowohl an der FH Bielefeld eingeschrieben als auch in einem Unternehmen beschäftigt. Die Praxisphasen im Betrieb wechseln sich etwa vierteljährlich mit Theoriephasen an der Fachhochschule ab. Die berufspraktische Tätigkeit kann im Rahmen einer Berufsausbildung oder im studienbegleitenden Praktikum erbracht werden. Es ist aber auch möglich, das Studium mit einer Berufstätigkeit zu verbinden.\n\nInformationen über Praxisplatzangebote und zur Bewerbung bei den Unternehmen erhalten Sie im Unternehmensportal sowie über unsere E-Mail-Verteiler für Studieninteressierte. \n\n[www.fh-bielefeld.de/praxisintegriertes-studium/studieninteressierte ](https://www.fh-bielefeld.de/praxisintegriertes-studium/studieninteressierte \"Informationen für Studieninteressierte\")\n\nKooperatives Studium\n\nDieses Modell verbindet eine praktische Facharbeiter- oder Gesellenausbildung mit einem Bachelorstudium. Der \n\n[Bachelorstudiengang  Maschinenbau](https://www.fh-bielefeld.de/studiengaenge/maschinenbau-bachelor \"Maschinenbau (Vollzeit/kooperativ)\")\n\n in Bielefeld verläuft in der Variante des kooperativen Studiums in Kombination mit der gewerblich-technischen Berufsausbildung im Bereich „Metall“. Am Campus Minden wird die Ausbildung in einem klassischen Bauberuf mit dem \n\n[Bachelorstudiengang Bauingenieurwesen](https://www.fh-bielefeld.de/studiengaenge/bauingenieurwesen-bachelor \"Bauingenieurwesen (Vollzeit/kooperativ)\")\n\nkombiniert.	Editorial		[]	false	[]	74
Beauftragte	Die Beauftragten nehmen die Interessen der Hochschule, ihrer Mitglieder und Angehörigen in unterschiedlichen Bereichen wahr.\n\nDie \n\n[Beauftragte für Studierende mit Behinderungen**](https://www.fh-bielefeld.de/beauftragte-fuer-studierende-mit-handicap \"Beauftragte für Studierende mit Behinderungen und chronischen Krankheiten\")\n\n und chronischen Krankheiten berät betroffene Studierende.\n\nDie \n\n[behördliche Datenschutzbeauftragte**](https://www.fh-bielefeld.de/datenschutzbeauftragte \"Datenschutzbeauftragte\")\n\n wird vom Präsidium bestellt und berät die Hochschule und deren Mitglieder und Angehörige in Datenschutzangelegenheiten.\n\nDie gewählte \n\n[Gleichstellungsbeauftragte**](https://www.fh-bielefeld.de/gleichstellungsbeauftragte \"Gleichstellungsbeauftragte\")\n\n wirkt auf die Einbeziehung frauenrelevanter Aspekte bei der Erfüllung der Aufgaben der Hochschule hin.\n\nDer \n\n[IT-Sicherheitsbeauftragte**](https://www.fh-bielefeld.de/hochschule/organisation/beauftragte/sicherheitsbeauftragte/beauftragter-fuer-it-sicherheit \"Beauftragter für IT-Sicherheit\")\n\n wird vom Präsidium bestellt und berät die Hochschule und deren Mitglieder und Angehörige in Angelegenheiten der IT-Sicherheit.\n\nDer \n\n[Ombudsmann** ](https://www.fh-bielefeld.de/hochschule/organisation/beauftragte/ombudsmann \"Ombudsmann\")\n\nberät als Vertrauensperson die Angehörigen der FH Bielefeld, die über ein vermutetes wissenschaftliches Fehlverhalten informieren und prüft den Sachverhalt nach pflichtgemäßem Ermessen.\n\nDie\n\n[ Fachkraft für Arbeitssicherheit **](https://www.fh-bielefeld.de/hochschule/organisation/beauftragte/sicherheitsfachkraft \"Fachkraft für Arbeitssicherheit\")\n\nund die \n\n[Sicherheitsbeauftragten**](https://www.fh-bielefeld.de/hochschule/organisation/beauftragte/sicherheitsbeauftragte \"Sicherheitsbeauftragte\")\n\nwerden von der Hochschule bestellt und beraten in allen Fragen der Arbeitssicherheit.	Editorial		[]	false	[]	75
Personalvertretungen	Die Beschäftigten der FH Bielefeld werden von zwei Personalräten vertreten: dem \n\n[Personalrat der Mitarbeiter in Technik und Verwaltung](https://www.fh-bielefeld.de/hochschule/organisation/personalvertretung/personalrat-der-mitarbeiter-in-technik-und-verwaltung \"Personalrat der Mitarbeiter in Technik und Verwaltung\")\n\n und dem\n\n[ Personalrat der wissenschaftlich Beschäftigten](https://www.fh-bielefeld.de/prwiss \"Personalrat der wissenschaftlich Beschäftigten\")\n\n .\n\nIhre wichtigste Aufgabe ist die Überwachung der Gesetze, Tarifverträge und anderer Bestimmungen, die den Arbeitnehmern Rechte einräumen. Beide Personalräte vermitteln zwischen Hochschulleitung und Beschäftigten und werden an Personalentscheidungen beteiligt. Zudem schließen sie Dienstvereinbarungen mit der Hochschulleitung zu allen Belangen ab, die das Arbeitsleben der Beschäftigten  betreffen.\n\nDie Vertrauensperson der \n\n[Schwerbehindertenvertretung ](https://www.fh-bielefeld.de/hochschule/organisation/personalvertretung/schwerbehindertenvertretung \"Schwerbehindertenvertretung\")\n\nwird durch die Mitarbeiterinnen und Mitarbeiter mit Behinderungen gewählt. Sie soll bei der Integration ins Berufsleben unterstützen.	Editorial		[]	false	[]	76
Datenverarbeitungszentrale	Die Datenverarbeitungszentrale (DVZ) ist eine zentrale Einrichtung der Fachhochschule Bielefeld und stellt Beschäftigten, Studierenden und weiteren Personengruppen an der Hochschule eine moderne IT-Infrastruktur und zeitgemäße IT-Services zur Verfügung.\n\n Aktuelles \n\n![sciebo Logo](https://www.fh-bielefeld.de/multimedia/Einrichtungen/Datenverarbeitungszentrale/IT_Services/Fileservices/sciebo-height-46-width-145.jpg)\n\nNeu: sciebo, die Campuscloud an der FH Bielefeld\n\nsciebo – eine Wortschöpfung aus Science und Box – ist ein Cloud-Speicherdienst von und für die Hochschulen in NRW. sciebo ermöglicht das Speichern, Teilen und Synchronisieren von hochschulbezogenen Daten. Alle Beschäftigten und Studierenden der  Fachhochschule Bielefeld können ab sofort diesen IT-Service nutzen.\n\n[>Mehr](https://www.fh-bielefeld.de/dvz/it-services/fileservices/sciebo-die-campuscloud \"Sciebo - Die Campuscloud\")\n\nMigration der E-Mail-Systeme\n\nAm 3. Mai erfolgt der Wechsel des E-Mail-Systems des Campus zu Microsoft Exchange. Daher ist der IT-Service \"E-Mail\" vom 3. Mai 12:00 Uhr bis zum 6. Mai 8:00 Uhr nicht verfügbar. E-Mails an die Hochschule werden während dieser nicht zugestellt werden können, diese werden verzögert ab dem 6. Mai wieder zugestellt. Das Groupwise-System der Hochschulverwaltung ist während dieser Zeit intern nutzbar. Die Migration des Groupwise-Systems erfolgt später im Jahr 2019.\n\n[>Mehr](https://www.fh-bielefeld.de/dvz/e-mail-migration \"Migration der E-Mailsysteme\")\n\n![Plakat eduroam-Neukonfiguration](https://www.fh-bielefeld.de/multimedia/Einrichtungen/Datenverarbeitungszentrale/Pass+auf_+sonst+bist+du+offline-height-205-width-145-p-127546.png)\n\nPass auf, sonst bist du offline....\n\nDamit Angehörige der FH Bielefeld – auf dem Campus und unterwegs – weiter sicher im WLAN eduroam online bleiben, müssen alle Geräte ab dem 05. März 2019 neu konfiguriert werden.\n\n[>Mehr](https://www.fh-bielefeld.de/dvz/eduroam \"eduroam-Änderung am 05.03.2019\")\n\nSophos Endpoint Security: Änderung der Updateserver\n\nAb sofort sind für Sophos Endpoint Security, bzw. Sophos Anti-Virus neue Adressen für die Updateserver zu konfigurieren, da die alten Server zum 15. März 2019 abgeschaltet werden.\n\n[>Mehr](https://www.fh-bielefeld.de/dvz/it-services/softwarebereitstellung/sophos-endpoint-security-aenderung-der-updateserver \"Sophos Endpoint Security: Änderung der Updateserver\")\n\nDerzeit kein Zugriff auf Azure Dev Tools (ehemals Microsoft Imagine Premium) möglich\n\nAm 11. Februar 2019 wurde MS Imagine Premium durch \"Azure Dev Tools für den Unterricht\" abgelöst. Seitdem kann über den Zugang über das Softwareportal keine Software mehr bezogen werden.\n\n Leider ist bislang unbekannt, wie die Anmeldung am neuen Shop erfolgen soll, die Anbindung konnte daher  noch nicht implementiert werden. Wann der Zugriff wieder möglich sein wird, ist bislang noch offen. Sobald wir weitere informationen haben, werden wir sie hier zur Verfügung stellen. Bis dahin bitten wir um Ihr Verständnis.\n\n[Zugang zum freien WLAN in Bielefeld erweitert](https://www.fh-bielefeld.de/presse/pressemitteilungen/zugang-zum-freien-wlan-in-bielefeld-erweitert)\n\nWLAN-Netzwerke BI-free und eduroam am Jahnplatz und auf dem Campus verfügbar\n\n. **\n\n[Mehr](https://www.fh-bielefeld.de/presse/pressemitteilungen/zugang-zum-freien-wlan-in-bielefeld-erweitert)\n\n![Logo-Medienportal](https://www.fh-bielefeld.de/multimedia/Einrichtungen/Bibliothek/Medienportal/Logo_Medienportal-height-80-width-145-p-119992.JPG)\n\nJetzt neu: das FH-eigene Medienportal\n\nDie FH Bielefeld bietet ab sofort ein eigenes Medienportal für Videos, Photos oder Audios in der Lehre an. Das Medienportal ist für jeden auch ohne Login erreichbar - manche Medien sind aber erst nach dem Login für FH-Angehörige sichtbar.\n\nLehrende können ihre eigenen Lehrfilme rechtegesteuert und sicherheitskonform hochladen, verwalten und veröffentlichen.\n\nAls neuen Service untertützt die FH Bielefeld jetzt auch Filmprojekte und Livestreaming von Veranstaltungen. Dafür steht das 'Team Medienportal' mit Mitarbeitern und Mitarbeiterinnen aus der Datenverabeitungszentrale und der Hochschulbibliothek bereit.\n\n> \n\n[Mehr](https://www.fh-bielefeld.de/learningservices/medienportal \"Medienportal\")	Editorial		[]	false	[]	77
Hochschulverwaltung	Die Hochschulverwaltung der Fachhochschule Bielefeld sorgt für die Erfüllung der Aufgaben der Fachhochschule in Planung, Verwaltung und Rechtsangelegenheiten. Dabei hat sie auf eine wirtschaftliche Verwendung der Haushaltsmittel und auf eine wirtschaftliche Nutzung der Einrichtungen der Fachhochschule hinzuwirken.\n\nAuch die Verwaltungsangelegenheiten der Organe und Gremien werden ausschließlich durch die Hochschulverwaltung wahrgenommen. Sie unterstützt insbesondere die Dekaninnen und Dekane bzw. die Dekanate der Fachbereiche bei ihren Aufgaben.\n\nAls Mitglied des Präsidiums leitet die Vizepräsidentin für Wirtschafts- und Personalverwaltung die Hochschulverwaltung.\n\nDie Hochschulverwaltung ist in fünf Dezernaten und zwei Ressorts organisiert.	Editorial		[]	false	[]	78
Studentische Vertretungen	Das Studierendenparlament\n\nAls höchstes Gremium der studentischen Selbstverwaltung wird einmal jährlich – meist im Mai – das \n\n[Studierendenparlament (StuPa)](http://fh-asta.de/index.php?option=com_content&view=category&layout=blog&id=23&Itemid=182)\n\n von den Studierenden der Fachhochschule Bielefeld gewählt. Jeder Fachbereich kann dabei, aufgeschlüsselt nach den aktuellen Studierendenzahlen, eine gewisse Anzahl von Sitzen im StuPa besetzen.\n\n Gewählt wird meist über freie Fachschaftslisten. Das StuPa trifft sich monatlich, in der Regel am ersten Montag im Monat, zu seiner Sitzung, die im Hauptgebäude (Campus Bielefeld, Bauteil A, 2. Etage) stattfindet. Ein dreiköpfiger Vorstand leitet die Sitzungen und führt die Geschäfte.\n\n Das StuPa entscheidet über den Haushalt der Studierendenschaft, legt die Höhe des Beitrags der Studierenden fest (enthalten im Semesterbeitrag, der bei der Rückmeldung zu zahlen ist), ist zuständig für das Semesterticket und alle weiteren wichtigen Fragen der studentischen Selbstverwaltung.\n\n Es bestimmt den Umfang und die Zusammensetzung des Allgemeine Studierendenausschusses (AStA) und wählt dessen Vorstand. Die Referentinnen und Referenten des AStA werden bestätigt. Die genauen Regelungen zum StuPa finden sich in der Satzung der Studierendenschaft und der Geschäftsordnung des StuPa.\n\n \n\nDer Allgemeine Studierendenausschuss (AStA)\n\nDer \n\n[Allgemeine Studierendenausschuss (AStA)](http://www.fh-asta.de/)\n\nstellt das Verwaltungsorgan der Studierendenschaft dar. Hier werden die Beschlüsse des StuPa umgesetzt, der Haushalt aufgestellt und verwaltet, die Vertretung gegenüber der Hochschule, dem Ministerium und anderer Organisationen und Verbände wahrgenommen und in den verschiedenen Referaten zu zahlreichen Themen gearbeitet. Zudem arbeitet der AStA auf Landes- und Bundesebene mit Studierendenschaften anderer Hochschulen zusammen, z. B. über das Landes-ASten-Treffen (LAT) oder im freien Zusammenschluss von Studentlnnenschaften (fzs), organisiert Informationsveranstaltungen, Partys und – falls nötig – Demonstrationen und Proteste.\n\n Die Verantwortung für das Handeln des AStA trägt der dreiköpfige Vorstand, der vom StuPa gewählt wird. Die Amtszeit beträgt jeweils ein Jahr.\n\n Die Referentinnen und Referenten des AStA werden vom StuPa lediglich bestätigt. Einige Referate bieten Sprechstunden an, die Termine können im AStA-Büro erfragt werden. Im Wesentlichen gibt es eine BAföG- und Sozialberatung und eine Rechtsberatung in studentischen Belangen. Wer darüber hinaus Fragen zu bestimmten Themen hat, Informationen möchte, oder einen internationalen Studierendenausweis braucht, kann sich an das AStA-Sekretariat wenden:\n\nAStA-Sekretariat**\n\n Raum A239\n\n Interaktion 1\n\n 33619 Bielefeld\n\n[asta@fh-bielefeld.de](mailto:asta@fh-bielefeld.de)\n\nMontag, Dienstag und Donnerstag: 08:30 Uhr - 12:00 Uhr\n\n Mittwoch: 08:30 Uhr - 11:30 Uhr \n\n Freitag: 10:30 Uhr - 11:30 Uhr\n\n (in den Semesterferien kann es zu Abweichungen kommen)\n\nDie AStA-Mitglieder sind am besten während der wöchentlichen AStA-Sitzung zu erreichen. Diese ist grundsätzlich öffentlich  und findet jeweils mittwochs um 14.15 Uhr im Raum A 235, Interaktion 1, 33619 Bielefeld, satt.\n\n \n\nDie Fachschaftsräte\n\nDie \n\n[Fachschaftsräte (FSR)**](http://fh-asta.de/index.php?option=com_content&view=category&layout=blog&id=24&Itemid=183)\n\nsind die studentischen Vertretungen an den einzelnen Fachbereichen. Der Fachschaftsrat vertritt die Studierenden eines Fachbereiches gegenüber dem Dekanat und knüpft Kontakte zu Fachschaften anderer Hochschulen. Der Fachschaftsrat organisiert Infoveranstaltungen, Vollversammlungen und Protestaktionen und ist häufig Ausrichter traditioneller Partys. Daneben bieten viele Fachschaftsräte einen Klausurenservice oder einen Lehrmittelverkauf an.\n\n Die Fachschaftsräte sind Ansprechpartner für alle Probleme im Studium und stehen den Studierenden beratend zur Seite. Zu erreichen sind sie in der Regel während fester Büro-Öffnungszeiten (Aushänge beachten) oder telefonisch.	Editorial		[]	false	[]	79
